CarTitle,ImageURL,Price,Rating,PageDirectionLink,carPassenger,carTransmission Type,carSpecification
Toyota_Corolla or,https://mediaim.expedia.com/cars/1101/eae631c0-f1a9-4efc-ba47-8aac0ae56111.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$49,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvokYfpHuiByy4QLVQiBF1xjPulj3_EPwuJCNRAsWdXLTFYW1OLJ7MGW7zI15CY6XLH4&dailyPriceShown=48.91&totalPriceShown=74.02&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=157.72&isCaliforniaUser=false,5,Automatic,Midsize
Kia_Sorento or,https://mediaim.expedia.com/cars/1101/0d928e12-3d4a-4f9e-be8a-7563e3692c0f.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$75,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomzla7dhDusjN4cgFn_EcJdc1nm9f3WvgVIAbpcALhxvBb-GflVodmSmGOyMVBCFZY&dailyPriceShown=75.31&totalPriceShown=75.31&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=172.29&isCaliforniaUser=false,5,Automatic,Standard SUV
Hyundai Tucson,https://mediaim.expedia.com/cars/1148/2ffb6af6-1af1-4f87-a352-9d0e106a4466.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$75,3.50,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQhYyJ7NpoO6qpX3uWM9K76uCCeOht1uINgX8MPYXNAoaGuH7y5IUNRg0IB1Mb8GTSk_e1MkhHgWz7hpZA651Rm5yCV3DDSTzuI4yQCnuZmLWcM7uVR_Bs6spmcsqH2fLHYqlXP9lfAL7UaQgSY0mq5Q&dailyPriceShown=75.46&totalPriceShown=75.46&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=172.29&isCaliforniaUser=false,5,Automatic,Standard SUV
Toyota Camry,https://mediaim.expedia.com/cars/1061/bb0bf3cd-1f88-4d2f-bf7a-6d25a01ed82d.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$51,1.20,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvol7Dhet30NuYNn98LhwEuPHsa6JtPTQ8ODVDGQfWWttGfioeCIHsTE4HGwvyTpmd1Q&dailyPriceShown=51.0&totalPriceShown=76.69&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=155.07&isCaliforniaUser=false,5,Automatic,Fullsize
Compact or,https://mediaim.expedia.com/cars/1101/b50aede5-96e3-4dd6-9a43-bacf381537ca.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$51,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvokYfpHuiByy4QLVQiBF1xjPh_YBsxh1v-yZpF8YKVjJboW1OLJ7MGW7zI15CY6XLH4&dailyPriceShown=51.4&totalPriceShown=77.31&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=114.32&isCaliforniaUser=false,5,Automatic,Special
Mitsubishi Mirage,https://mediaim.expedia.com/cars/38/a45da38f-58a4-4486-a81f-0e10a968488a.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$62,4.00,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvol5BUBUT44V095l4mDb0pMc9u5sK4DjswQIDBrLd8s7X3V4uvAGYMxC_PxKzKbxsek&dailyPriceShown=61.65&totalPriceShown=82.25&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=171.17&isCaliforniaUser=false,4,Automatic,Economy
Chevrolet Spark,https://mediaim.expedia.com/cars/43/75834ed8-0075-4218-8967-57bb19bcee97.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$62,3.75,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvonKM3RUSi8dpxgcSdxNHRZovWWJb9E9eQ0WmxXVuP7dHmdMKAiABFetu4EsDAMe_eQ&dailyPriceShown=61.85&totalPriceShown=82.95&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=171.17&isCaliforniaUser=false,4,Automatic,Economy
Hyundai Venue,https://mediaim.expedia.com/cars/38/83e4276b-b96d-4e60-bbf2-3e3589a78663.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$62,4.00,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvol5BUBUT44V095l4mDb0pMcKzyRW28XTdJRg2m0s1l0b3V4uvAGYMxC_PxKzKbxsek&dailyPriceShown=62.37&totalPriceShown=83.2&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=164.57&isCaliforniaUser=false,5,Automatic,Compact
Kia_Sorento or,https://mediaim.expedia.com/cars/1101/0d928e12-3d4a-4f9e-be8a-7563e3692c0f.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$56,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvokYfpHuiByy4QLVQiBF1xjPc1nm9f3WvgVIAbpcALhxvIW1OLJ7MGW7zI15CY6XLH4&dailyPriceShown=56.21&totalPriceShown=83.67&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=172.29&isCaliforniaUser=false,5,Automatic,Standard SUV
Kia Rio,https://mediaim.expedia.com/cars/43/4a9713ac-4396-49c0-824c-e96a7d7173e9.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$63,3.75,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvonKM3RUSi8dpxgcSdxNHRZokUTmxOCYM60I5eJ6bIqV6UQKTcV_H0xwec2Wv7rRFLA&dailyPriceShown=62.57&totalPriceShown=83.9&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=164.57&isCaliforniaUser=false,5,Automatic,Compact
Dodge Pro,https://mediaim.expedia.com/cars/1101/d6ac0cdc-f93b-4fe4-a369-8ac7a9212eda.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$84,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomIbMu3XkVANfp9r73oN4icIWDzNA7dyolLXpHcwd3Ojan0S_n5HJMJMyEoFUAOchs&dailyPriceShown=84.02&totalPriceShown=84.02&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=155.07&isCaliforniaUser=false,2,Automatic,Fullsize Commercial Van/Truck
Hyundai Elantra,https://mediaim.expedia.com/cars/38/ccb5ca3b-eb5f-4165-b596-f59832fa9e41.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$63,4.00,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvol5BUBUT44V095l4mDb0pMcqlmFQDJxHlnYq7ET4euHUHV4uvAGYMxC_PxKzKbxsek&dailyPriceShown=63.1&totalPriceShown=84.14&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=157.72&isCaliforniaUser=false,5,Automatic,Midsize
Toyota Corolla,https://mediaim.expedia.com/cars/43/30cc256f-45fd-4f49-bd0b-6fdeb8bc0644.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$63,3.75,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvonKM3RUSi8dpxgcSdxNHRZouyhzGNtWEa4rtoHzoieM0GdMKAiABFetu4EsDAMe_eQ&dailyPriceShown=63.3&totalPriceShown=84.84&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=157.72&isCaliforniaUser=false,5,Automatic,Midsize
Toyota Corolla,https://mediaim.expedia.com/cars/1061/3f9a8546-d9be-4964-8c47-7620c84f4ba1.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$58,1.20,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvol7Dhet30NuYNn98LhwEuPH5-7IcbAiHH1eZSzLFXOR-fioeCIHsTE4HGwvyTpmd1Q&dailyPriceShown=57.89&totalPriceShown=85.88&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=157.72&isCaliforniaUser=false,5,Automatic,Midsize
Toyota Yaris,https://mediaim.expedia.com/cars/1061/f73fabc8-8db6-4130-807f-2e4735810403.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$58,1.20,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvol7Dhet30NuYNn98LhwEuPHQaipyRxVBdxX6HRVZZwYI_ioeCIHsTE4HGwvyTpmd1Q&dailyPriceShown=57.89&totalPriceShown=85.88&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=171.17&isCaliforniaUser=false,5,Automatic,Economy
